Wall time,Step,Reward
1715359518,371072,-85.87596893
1715359550,371200,-85.85218048
1715359581,371328,-86.31443787
1715359613,371456,-87.21011353
1715359645,371584,-87.2349472
1715359676,371712,-86.91418457
1715359708,371840,-86.16137695
1715359739,371968,-86.67123413
1715359771,372096,-86.70294189
1715359803,372224,-86.64768219
1715359834,372352,-86.96533966
1715359866,372480,-87.29633331
1715359897,372608,-87.90406799
1715359929,372736,-88.35047913
1715359961,372864,-88.49564362
1715359992,372992,-88.50863647
1715360024,373120,-88.91889954
1715360055,373248,-89.42360687
1715360087,373376,-91.31303406
1715360119,373504,-91.07781219
1715360150,373632,-90.85343933
1715360182,373760,-90.70290375
1715360213,373888,-90.74298859
1715360245,374016,-90.74498749
1715360277,374144,-90.98524475
1715360308,374272,-91.3319397
1715360340,374400,-91.98209381
1715360371,374528,-92.02882385
1715360403,374656,-92.14501953
1715360435,374784,-93.05659485
1715360466,374912,-93.5849762
1715360498,375040,-94.11120605
1715360530,375168,-94.30965424
1715360561,375296,-94.74391174
1715360593,375424,-94.37015533
1715360624,375552,-94.17723846
1715360656,375680,-94.83274841
1715360688,375808,-94.8841629
1715360719,375936,-95.42416382
1715360751,376064,-95.52891541
1715360782,376192,-95.96363831
1715360814,376320,-96.13715363
1715360846,376448,-96.66324615
1715360877,376576,-96.89582062
1715360909,376704,-96.68331909
1715360940,376832,-96.72759247
1715360972,376960,-97.15444183
1715361004,377088,-97.21187592
1715361035,377216,-96.93746185
1715361067,377344,-96.94886017
1715361098,377472,-97.06854248
1715361130,377600,-96.98314667
1715361162,377728,-96.90824127
1715361193,377856,-96.35817719
1715361225,377984,-96.90113831
1715361256,378112,-97.44324493
1715361291,378240,-96.52902985
1715361323,378368,-96.34433746
1715361354,378496,-96.55380249
1715361386,378624,-95.96247101
1715361418,378752,-95.58599854
1715361449,378880,-95.56841278
1715361481,379008,-94.59477997
1715361512,379136,-94.38163757
1715361544,379264,-94.34082031
1715361576,379392,-93.77871704
1715361607,379520,-93.32089233
1715361639,379648,-93.33309937
1715361670,379776,-93.35488892
1715361702,379904,-93.95941162
1715361734,380032,-93.30431366
1715361765,380160,-93.05441284
1715361797,380288,-93.56347656
1715361828,380416,-93.7637558
1715361860,380544,-93.18478394
1715361892,380672,-92.79977417
1715361923,380800,-92.67370605
1715361955,380928,-93.05728149
1715361986,381056,-92.55574036
1715362018,381184,-92.77319336
1715362050,381312,-92.34111023
1715362081,381440,-91.66288757
1715362113,381568,-91.7986908
1715362144,381696,-91.47467804
1715362176,381824,-91.42008209
1715362208,381952,-91.42285919
1715362239,382080,-91.05992889
1715362271,382208,-91.02398682
1715362303,382336,-91.3294754
1715362334,382464,-91.61096954
1715362366,382592,-92.10512543
1715362397,382720,-92.22115326
1715362429,382848,-92.0743866
1715362461,382976,-92.14156342
1715362492,383104,-92.30084991
1715362524,383232,-92.42697906
1715362555,383360,-92.56108856
1715362587,383488,-92.29013062
1715362619,383616,-92.14855194
1715362650,383744,-92.46331024
1715362682,383872,-92.74412537
1715362713,384000,-92.71874237
1715362745,384128,-92.43772888
1715362777,384256,-92.24176788
1715362808,384384,-91.55151367
1715362840,384512,-91.42372131
1715362871,384640,-92.90734863
1715362903,384768,-93.04299927
1715362935,384896,-93.09334564
1715362966,385024,-93.66252899
1715362998,385152,-93.52878571
1715363029,385280,-92.98358154
1715363061,385408,-93.44198608
1715363093,385536,-93.87184143
1715363124,385664,-93.76535797
1715363156,385792,-94.30906677
1715363188,385920,-94.27332306
1715363219,386048,-93.93920898
1715363251,386176,-94.10321045
1715363282,386304,-93.4059906
1715363314,386432,-93.7935257
1715363346,386560,-94.13745117
1715363377,386688,-93.04258728
1715363409,386816,-93.49172211
1715363440,386944,-93.82466125
1715363472,387072,-94.20568085
1715363504,387200,-94.6362381
1715363535,387328,-94.35161591
1715363567,387456,-94.28491211
1715363598,387584,-93.81478882
1715363630,387712,-93.88361359
1715363662,387840,-94.16670227
1715363693,387968,-94.25351715
1715363725,388096,-94.68034363
1715363756,388224,-95.21860504
1715363788,388352,-95.31758881
1715363820,388480,-94.96769714
1715363851,388608,-94.65576172
1715363883,388736,-94.76498413
1715363914,388864,-94.73184967
1715363946,388992,-94.10190582
1715363978,389120,-94.2265625
1715364012,389248,-92.79702759
1715364044,389376,-92.90244293
1715364076,389504,-92.46807861
1715364107,389632,-93.08599854
1715364139,389760,-93.08491516
1715364170,389888,-93.50770569
1715364202,390016,-93.08280945
1715364234,390144,-93.00546265
1715364265,390272,-92.96340179
